B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
B88:, R27, R18, R13, R35, R79, R63, R37, R60, R42, R62, R96, R54, R47, R86, R33, R46, R10, R66, R82, R30, R57, R81, R2, R23, R59, R68, R29, R61, R91, R24, R84, R39, R49, R51, R11, R17, R93, R4, R25, R0, R55, R90, R14, R52, R94, R1, R74, R70, R99, R95, R44, R58, R28, R89, R75, R31, R38, R88, R80, R98, R71, R72, R87, R97, R9, R76, R50, R3, R19, R32, R92, R20, R22, R64, R67, R40, R8, R78, R16, R15, R41, R53, R48, R69, R77, R36, R34, R56, R12, R73, R43, R83, R5, R7, R65, R45, R21, R26, R85, R6, 
B89:, R72, R42, R76, R58, R13, R75, R87, R50, R51, R89, R23, R22, R1, R12, R15, R94, R44, R85, R53, R91, R8, R57, R80, R37, R38, R3, R62, R0, R39, R65, R78, R28, R83, R43, R92, R81, R11, R90, R98, R6, R56, R27, R46, R69, R60, R55, R79, R26, R29, R99, R7, R10, R77, R59, R63, R45, R97, R49, R93, R40, R33, R30, R47, R24, R96, R9, R17, R4, R5, R70, R2, R71, R68, R34, R36, R41, R86, R21, R88, R73, R54, R82, R18, R20, R64, R25, R48, R61, R19, R31, R52, R84, R32, R66, R35, R16, R67, R14, R95, R74, 
B90:, R33, R97, R25, R42, R53, R56, R89, R90, R26, R64, R24, R2, R23, R48, R54, R69, R34, R57, R51, R43, R98, R49, R91, R10, R32, R50, R17, R65, R37, R46, R22, R95, R38, R87, R27, R79, R9, R14, R74, R40, R20, R11, R1, R0, R52, R15, R94, R16, R12, R71, R21, R59, R83, R60, R18, R76, R41, R47, R39, R81, R44, R4, R70, R99, R8, R55, R82, R3, R28, R45, R30, R35, R67, R86, R80, R5, R88, R84, R62, R72, R19, R31, R68, R96, R61, R58, R85, R93, R77, R75, R73, R29, R78, R36, R7, R6, R66, R63, R92, R13, 
B91:, R74, R94, R2, R52, R98, R46, R39, R61, R34, R37, R55, R36, R64, R9, R23, R33, R79, R72, R10, R7, R43, R66, R5, R89, R6, R22, R81, R38, R25, R26, R40, R16, R77, R45, R30, R96, R21, R67, R97, R62, R49, R93, R48, R47, R27, R11, R4, R86, R84, R28, R99, R44, R1, R76, R63, R65, R17, R24, R14, R15, R18, R95, R82, R59, R19, R35, R80, R53, R54, R75, R71, R50, R88, R78, R3, R51, R13, R32, R41, R60, R31, R29, R69, R20, R70, R87, R68, R58, R85, R83, R42, R91, R12, R92, R57, R56, R8, R90, R73, R0, 
B92:, R38, R29, R93, R33, R63, R54, R73, R45, R49, R41, R90, R44, R12, R36, R91, R60, R86, R21, R6, R89, R20, R57, R43, R95, R82, R7, R53, R94, R13, R46, R10, R96, R55, R51, R81, R17, R99, R71, R40, R8, R68, R74, R84, R22, R27, R48, R83, R79, R64, R92, R11, R97, R16, R76, R85, R47, R39, R19, R37, R88, R23, R24, R70, R72, R56, R5, R69, R87, R26, R32, R34, R2, R98, R75, R15, R30, R59, R28, R80, R35, R67, R14, R31, R4, R52, R3, R50, R65, R66, R0, R42, R77, R18, R1, R78, R58, R61, R25, R62, R9, 
B93:, R79, R66, R76, R22, R75, R43, R24, R5, R98, R25, R32, R40, R62, R73, R14, R92, R67, R64, R82, R13, R4, R1, R83, R49, R61, R97, R11, R56, R48, R26, R72, R94, R12, R36, R87, R50, R37, R3, R21, R51, R9, R39, R7, R95, R8, R89, R15, R38, R53, R18, R80, R77, R27, R63, R90, R17, R81, R6, R31, R10, R42, R45, R34, R55, R46, R16, R84, R44, R71, R99, R2, R41, R96, R65, R29, R52, R19, R93, R30, R68, R60, R74, R69, R70, R23, R78, R57, R58, R88, R86, R28, R20, R0, R35, R91, R33, R85, R47, R59, R54, 
B94:, R2, R62, R94, R28, R90, R23, R15, R41, R82, R30, R81, R49, R43, R80, R31, R16, R71, R7, R44, R26, R27, R12, R73, R33, R36, R54, R67, R70, R35, R10, R75, R77, R59, R29, R24, R92, R39, R9, R57, R76, R99, R38, R19, R22, R0, R25, R14, R68, R98, R69, R45, R32, R3, R86, R61, R78, R63, R96, R11, R40, R79, R4, R72, R95, R34, R8, R53, R84, R65, R5, R74, R85, R1, R51, R87, R66, R60, R88, R17, R47, R64, R46, R91, R83, R18, R6, R89, R58, R13, R20, R50, R56, R55, R21, R97, R93, R42, R52, R37, R48, 
B95:, R56, R79, R84, R32, R7, R44, R22, R90, R30, R20, R57, R28, R6, R70, R15, R64, R91, R40, R38, R95, R31, R26, R85, R36, R81, R4, R46, R86, R87, R61, R69, R92, R75, R68, R35, R33, R37, R99, R16, R8, R83, R49, R74, R0, R62, R9, R29, R27, R93, R25, R39, R47, R55, R60, R54, R3, R21, R58, R1, R94, R88, R24, R34, R65, R77, R48, R41, R97, R14, R19, R2, R82, R5, R45, R11, R43, R10, R98, R76, R53, R13, R78, R72, R63, R96, R89, R42, R50, R18, R23, R71, R67, R80, R59, R66, R73, R17, R51, R12, R52, 
B96:, R60, R93, R36, R13, R38, R89, R23, R32, R86, R52, R70, R90, R80, R28, R97, R71, R1, R72, R9, R54, R46, R30, R0, R40, R55, R98, R59, R81, R61, R56, R43, R82, R35, R65, R15, R85, R18, R99, R29, R51, R22, R75, R78, R42, R37, R66, R2, R92, R8, R7, R76, R63, R19, R94, R64, R4, R62, R83, R21, R91, R73, R41, R24, R16, R3, R96, R26, R11, R5, R49, R95, R67, R27, R47, R88, R6, R53, R48, R17, R10, R58, R69, R79, R45, R74, R25, R77, R87, R20, R68, R84, R39, R34, R50, R14, R44, R33, R57, R12, R31, 
B97:, R50, R60, R46, R40, R1, R81, R36, R65, R42, R94, R93, R79, R84, R48, R0, R95, R45, R85, R89, R38, R35, R43, R29, R99, R51, R80, R7, R69, R39, R30, R54, R70, R98, R83, R26, R5, R57, R67, R47, R82, R77, R12, R78, R28, R20, R25, R74, R31, R53, R66, R10, R23, R63, R96, R34, R4, R14, R91, R9, R88, R2, R58, R49, R6, R72, R90, R61, R76, R44, R3, R32, R64, R19, R52, R16, R55, R87, R22, R73, R18, R97, R13, R75, R11, R56, R33, R21, R59, R8, R71, R62, R41, R27, R68, R92, R37, R86, R24, R17, R15, 
B98:, R0, R60, R15, R82, R95, R92, R34, R68, R66, R17, R23, R5, R48, R33, R21, R94, R97, R53, R89, R52, R32, R41, R6, R74, R80, R7, R84, R51, R2, R24, R46, R37, R58, R91, R96, R27, R83, R39, R75, R26, R65, R49, R93, R79, R45, R12, R63, R56, R73, R77, R25, R1, R71, R29, R87, R88, R3, R40, R16, R14, R54, R70, R28, R20, R98, R86, R69, R13, R76, R42, R67, R19, R10, R57, R31, R8, R4, R90, R61, R47, R36, R9, R43, R44, R30, R59, R85, R50, R38, R64, R55, R35, R62, R78, R18, R81, R99, R11, R22, R72, 
B99:, R46, R14, R21, R55, R87, R4, R12, R41, R79, R76, R59, R98, R74, R10, R20, R75, R25, R8, R64, R62, R72, R18, R37, R45, R66, R6, R7, R24, R27, R90, R42, R84, R81, R17, R63, R58, R11, R33, R78, R23, R94, R3, R30, R56, R19, R80, R1, R93, R22, R2, R35, R13, R86, R39, R88, R68, R73, R99, R52, R43, R5, R34, R91, R36, R61, R57, R54, R96, R60, R67, R44, R51, R26, R50, R9, R92, R40, R69, R97, R28, R47, R31, R71, R48, R38, R53, R65, R82, R77, R0, R15, R70, R89, R85, R95, R83, R29, R49, R16, R32, 

R0:, B21, B20, B50, B85, B77, B12, B26, B23, B99, B39, B38, B84, B16, B90, B28, B44, B79, B57, B63, B73, B10, B74, B75, B1, B65, B37, B80, B78, B17, B87, B64, B8, B96, B46, B97, B58, B61, B82, B49, B9, B35, B4, B29, B47, B72, B83, B62, B24, B45, B14, B15, B2, B19, B54, B34, B7, B5, B88, B94, B70, B18, B51, B43, B33, B48, B13, B98, B60, B31, B42, B67, B92, B3, B81, B41, B69, B89, B93, B52, B55, B11, B91, B56, B36, B0, B27, B6, B25, B59, B22, B40, B95, B71, B30, B86, B53, B76, B66, B32, B68, 
R1:, B92, B88, B12, B37, B67, B38, B29, B78, B75, B73, B66, B58, B54, B11, B97, B86, B87, B34, B56, B25, B64, B6, B13, B32, B44, B26, B7, B28, B80, B15, B5, B84, B68, B33, B36, B3, B42, B90, B85, B99, B19, B83, B98, B23, B30, B50, B31, B24, B10, B82, B52, B53, B39, B72, B81, B40, B4, B8, B71, B95, B91, B93, B55, B9, B51, B2, B60, B22, B94, B77, B69, B62, B74, B57, B21, B20, B79, B41, B89, B0, B47, B18, B14, B45, B70, B35, B1, B63, B48, B76, B17, B46, B61, B16, B27, B49, B96, B65, B43, B59, 
R2:, B36, B78, B94, B93, B65, B62, B51, B47, B46, B66, B54, B61, B88, B97, B70, B83, B14, B2, B98, B50, B86, B25, B28, B84, B60, B27, B24, B4, B42, B18, B21, B19, B59, B68, B49, B35, B81, B5, B52, B16, B8, B48, B75, B56, B67, B30, B72, B15, B95, B96, B77, B1, B76, B92, B73, B85, B64, B32, B37, B82, B38, B89, B20, B41, B29, B80, B31, B87, B26, B57, B10, B39, B3, B11, B17, B63, B6, B12, B71, B58, B99, B9, B7, B53, B74, B55, B34, B0, B40, B91, B43, B13, B45, B44, B79, B69, B90, B23, B33, B22, 
R3:, B0, B4, B38, B23, B78, B90, B56, B50, B25, B70, B20, B65, B53, B79, B60, B30, B96, B26, B88, B45, B74, B37, B16, B83, B19, B89, B85, B34, B42, B94, B22, B84, B87, B2, B13, B12, B36, B33, B47, B57, B55, B10, B71, B27, B29, B11, B15, B39, B59, B77, B31, B99, B24, B93, B76, B67, B81, B63, B35, B9, B1, B5, B75, B64, B7, B17, B91, B49, B21, B18, B73, B86, B51, B58, B41, B82, B44, B95, B8, B6, B97, B72, B92, B68, B69, B62, B54, B43, B40, B48, B3, B98, B46, B14, B28, B80, B66, B52, B61, B32, 
R4:, B30, B18, B7, B3, B77, B37, B66, B20, B16, B75, B6, B48, B87, B76, B2, B89, B0, B50, B52, B33, B32, B10, B49, B57, B79, B23, B38, B92, B36, B35, B11, B47, B56, B21, B40, B28, B80, B85, B55, B24, B60, B19, B29, B4, B65, B90, B53, B74, B67, B70, B61, B25, B27, B69, B95, B94, B12, B73, B31, B8, B98, B58, B42, B81, B5, B34, B22, B59, B54, B62, B46, B96, B78, B63, B84, B71, B51, B9, B44, B43, B26, B45, B13, B39, B83, B41, B68, B1, B88, B97, B64, B93, B72, B14, B91, B99, B82, B15, B86, B17, 
R5:, B39, B95, B5, B9, B35, B81, B31, B46, B43, B66, B38, B55, B20, B96, B2, B21, B32, B17, B54, B63, B65, B51, B56, B98, B8, B69, B70, B68, B99, B62, B4, B89, B1, B78, B76, B64, B26, B73, B24, B28, B12, B3, B29, B53, B88, B16, B57, B90, B23, B58, B25, B60, B7, B93, B6, B47, B86, B42, B84, B40, B80, B67, B18, B59, B97, B52, B91, B79, B48, B61, B49, B44, B34, B19, B82, B85, B83, B50, B71, B15, B14, B22, B77, B36, B94, B45, B13, B41, B11, B74, B10, B75, B92, B27, B0, B72, B30, B87, B37, B33, 
R6:, B2, B83, B24, B13, B25, B21, B55, B17, B80, B10, B82, B66, B45, B79, B39, B31, B97, B3, B76, B93, B16, B40, B41, B35, B19, B73, B91, B56, B69, B4, B48, B78, B34, B44, B50, B42, B58, B5, B18, B61, B77, B72, B85, B51, B68, B6, B15, B94, B20, B36, B95, B43, B87, B37, B89, B8, B32, B67, B99, B7, B28, B96, B62, B30, B81, B9, B74, B70, B65, B52, B27, B92, B12, B71, B26, B90, B38, B98, B0, B29, B23, B47, B53, B84, B11, B14, B46, B33, B63, B59, B86, B49, B1, B22, B88, B60, B75, B57, B54, B64, 
R7:, B67, B37, B62, B51, B78, B80, B13, B31, B20, B52, B70, B94, B48, B90, B14, B75, B2, B95, B74, B15, B39, B76, B32, B91, B3, B19, B84, B54, B26, B65, B36, B27, B59, B64, B55, B25, B69, B40, B50, B30, B57, B49, B41, B81, B87, B83, B60, B9, B88, B12, B7, B29, B18, B23, B35, B71, B92, B5, B1, B58, B79, B72, B46, B61, B24, B11, B0, B8, B33, B16, B63, B85, B45, B66, B22, B86, B10, B73, B99, B17, B44, B43, B77, B82, B42, B47, B89, B56, B93, B96, B97, B38, B4, B6, B21, B68, B98, B53, B34, B28, 
R8:, B55, B75, B69, B8, B54, B88, B35, B99, B97, B38, B62, B3, B71, B36, B46, B1, B33, B47, B43, B52, B74, B23, B95, B2, B49, B34, B93, B5, B83, B37, B11, B44, B65, B86, B57, B82, B17, B91, B94, B27, B70, B84, B89, B22, B78, B81, B30, B29, B92, B4, B32, B72, B9, B10, B41, B25, B45, B96, B85, B51, B68, B7, B31, B15, B80, B20, B13, B98, B16, B76, B60, B18, B53, B28, B77, B48, B90, B64, B58, B40, B19, B59, B14, B79, B42, B24, B6, B56, B26, B39, B63, B21, B50, B66, B73, B61, B67, B0, B87, B12, 
R9:, B97, B70, B10, B30, B19, B1, B0, B47, B8, B67, B54, B49, B60, B12, B59, B26, B13, B83, B32, B21, B43, B2, B95, B81, B53, B25, B63, B27, B73, B72, B62, B98, B96, B76, B6, B9, B36, B11, B66, B87, B37, B50, B92, B41, B57, B99, B17, B48, B77, B65, B52, B42, B46, B3, B20, B34, B58, B33, B78, B39, B82, B89, B35, B86, B90, B93, B94, B44, B69, B5, B64, B84, B40, B28, B23, B91, B24, B55, B88, B38, B79, B18, B4, B61, B15, B22, B7, B75, B16, B31, B29, B51, B74, B56, B45, B14, B71, B68, B80, B85, 
R10:, B64, B53, B1, B66, B70, B76, B14, B58, B96, B67, B6, B15, B45, B84, B56, B46, B55, B22, B71, B88, B59, B85, B99, B27, B83, B93, B25, B17, B68, B65, B44, B29, B87, B3, B31, B16, B26, B21, B9, B80, B24, B97, B81, B11, B48, B73, B91, B40, B61, B42, B32, B8, B62, B28, B79, B75, B12, B49, B98, B89, B23, B60, B7, B57, B43, B10, B18, B63, B52, B78, B72, B50, B54, B20, B19, B95, B36, B47, B92, B2, B13, B35, B33, B82, B38, B51, B77, B39, B41, B90, B4, B5, B37, B74, B86, B0, B34, B30, B69, B94, 
R11:, B22, B59, B69, B99, B68, B7, B47, B85, B17, B35, B95, B51, B23, B74, B39, B8, B89, B72, B73, B48, B83, B46, B44, B84, B97, B42, B52, B5, B58, B21, B29, B57, B76, B71, B63, B61, B93, B55, B14, B94, B9, B33, B28, B11, B31, B0, B3, B87, B80, B24, B32, B62, B96, B79, B4, B25, B77, B65, B12, B13, B40, B70, B91, B30, B2, B67, B66, B26, B18, B75, B78, B88, B53, B60, B92, B38, B82, B54, B50, B19, B6, B36, B43, B1, B90, B81, B64, B15, B86, B10, B37, B41, B27, B20, B98, B34, B56, B49, B16, B45, 
R12:, B56, B57, B75, B61, B39, B28, B10, B94, B44, B14, B73, B97, B93, B96, B83, B58, B92, B47, B12, B5, B29, B54, B17, B84, B49, B89, B76, B91, B45, B37, B3, B66, B40, B80, B42, B34, B99, B23, B86, B78, B31, B41, B74, B51, B15, B48, B46, B4, B35, B19, B33, B52, B16, B65, B88, B20, B60, B90, B98, B13, B59, B6, B0, B87, B72, B82, B70, B77, B64, B68, B67, B24, B9, B1, B22, B63, B8, B55, B11, B30, B43, B21, B50, B81, B62, B36, B18, B2, B69, B32, B95, B38, B85, B79, B25, B7, B53, B26, B27, B71, 
R13:, B79, B48, B63, B22, B82, B89, B88, B85, B76, B35, B34, B9, B99, B51, B67, B68, B26, B58, B29, B4, B81, B44, B49, B3, B17, B98, B53, B86, B30, B21, B18, B13, B73, B74, B23, B60, B19, B28, B87, B16, B55, B43, B27, B91, B93, B37, B90, B69, B15, B24, B31, B20, B92, B65, B11, B56, B40, B14, B0, B33, B52, B47, B50, B77, B95, B39, B62, B97, B2, B54, B38, B94, B5, B72, B12, B78, B66, B84, B1, B96, B83, B7, B71, B80, B61, B41, B70, B45, B46, B6, B57, B25, B75, B64, B36, B32, B8, B42, B59, B10, 
R14:, B42, B84, B78, B4, B39, B17, B75, B59, B82, B44, B88, B43, B69, B2, B50, B72, B98, B96, B37, B94, B83, B3, B30, B41, B52, B58, B16, B89, B9, B7, B15, B21, B12, B14, B63, B8, B24, B1, B0, B25, B64, B86, B45, B32, B49, B99, B71, B62, B95, B60, B5, B36, B40, B61, B51, B70, B87, B93, B66, B11, B35, B48, B85, B57, B22, B81, B77, B65, B67, B28, B68, B10, B46, B6, B29, B54, B23, B91, B76, B74, B27, B33, B92, B73, B79, B55, B90, B20, B80, B31, B13, B56, B34, B19, B47, B18, B26, B53, B97, B38, 
R15:, B34, B51, B19, B4, B73, B94, B38, B77, B65, B46, B96, B87, B88, B29, B27, B16, B42, B13, B37, B6, B5, B98, B25, B23, B59, B64, B32, B82, B8, B61, B72, B18, B40, B35, B3, B24, B83, B47, B7, B1, B93, B41, B60, B74, B12, B30, B36, B80, B52, B2, B17, B75, B99, B53, B15, B57, B26, B45, B63, B69, B44, B89, B9, B56, B90, B92, B97, B22, B11, B55, B28, B21, B67, B79, B84, B95, B0, B91, B78, B71, B68, B58, B62, B81, B86, B70, B48, B33, B39, B10, B14, B43, B66, B20, B50, B76, B49, B54, B31, B85, 
R16:, B61, B13, B59, B98, B12, B94, B83, B88, B45, B40, B58, B8, B20, B21, B44, B29, B48, B79, B18, B93, B24, B23, B50, B66, B37, B91, B27, B2, B95, B28, B80, B62, B42, B65, B69, B33, B92, B56, B54, B25, B82, B30, B14, B31, B51, B32, B17, B38, B74, B46, B89, B0, B11, B6, B10, B77, B7, B19, B49, B36, B81, B26, B47, B67, B55, B64, B3, B97, B57, B60, B86, B90, B15, B96, B85, B1, B87, B68, B34, B22, B5, B9, B70, B72, B84, B16, B35, B73, B63, B43, B4, B76, B75, B39, B99, B78, B52, B71, B41, B53, 
R17:, B75, B27, B80, B67, B85, B59, B53, B0, B47, B43, B68, B55, B88, B7, B29, B46, B56, B24, B32, B30, B98, B70, B13, B96, B12, B31, B65, B73, B3, B38, B78, B25, B8, B51, B77, B81, B33, B52, B72, B87, B44, B36, B21, B26, B66, B39, B2, B19, B10, B62, B40, B95, B83, B34, B64, B18, B17, B23, B11, B61, B28, B1, B76, B49, B63, B94, B82, B42, B58, B79, B45, B5, B69, B41, B84, B15, B20, B74, B4, B91, B93, B16, B92, B97, B48, B50, B57, B37, B9, B90, B35, B86, B99, B71, B60, B89, B22, B14, B54, B6, 
R18:, B86, B95, B61, B15, B7, B14, B87, B8, B2, B68, B51, B53, B69, B29, B43, B0, B73, B13, B34, B18, B44, B6, B88, B60, B23, B35, B5, B66, B41, B46, B28, B1, B38, B92, B49, B10, B24, B56, B93, B58, B42, B12, B39, B40, B21, B19, B85, B9, B77, B96, B27, B97, B62, B17, B37, B75, B45, B50, B76, B54, B52, B84, B72, B31, B98, B47, B32, B80, B59, B90, B89, B26, B55, B57, B81, B36, B16, B78, B99, B48, B33, B79, B25, B82, B4, B67, B91, B3, B70, B20, B94, B30, B64, B65, B22, B71, B63, B83, B74, B11, 
R19:, B95, B45, B52, B63, B41, B38, B43, B80, B83, B50, B99, B37, B85, B46, B47, B78, B56, B53, B54, B27, B65, B7, B88, B44, B16, B82, B31, B84, B72, B13, B30, B48, B32, B91, B18, B75, B22, B69, B17, B67, B64, B12, B33, B58, B66, B79, B14, B55, B42, B9, B60, B89, B93, B87, B92, B51, B40, B5, B2, B6, B20, B94, B24, B11, B29, B4, B68, B61, B73, B74, B62, B96, B26, B36, B10, B8, B34, B70, B25, B76, B49, B57, B86, B19, B59, B15, B90, B98, B81, B1, B35, B77, B97, B3, B71, B21, B0, B23, B39, B28, 
R20:, B74, B71, B15, B45, B51, B23, B84, B28, B53, B56, B32, B98, B47, B43, B11, B61, B31, B41, B89, B82, B35, B85, B34, B48, B20, B1, B27, B96, B91, B19, B37, B81, B14, B42, B62, B73, B9, B8, B64, B44, B93, B25, B94, B69, B33, B13, B5, B70, B80, B97, B77, B75, B17, B60, B38, B67, B24, B10, B12, B2, B18, B6, B26, B87, B79, B86, B0, B58, B57, B66, B30, B22, B99, B76, B36, B92, B49, B88, B16, B46, B63, B39, B3, B52, B68, B40, B29, B4, B7, B21, B72, B55, B95, B50, B90, B59, B54, B83, B65, B78, 
R21:, B31, B98, B26, B7, B39, B46, B1, B51, B89, B52, B96, B87, B70, B2, B19, B5, B35, B72, B78, B10, B49, B12, B50, B86, B11, B32, B45, B4, B0, B65, B15, B56, B67, B17, B25, B44, B23, B73, B13, B71, B90, B3, B48, B24, B57, B69, B61, B85, B16, B79, B81, B20, B6, B43, B22, B74, B37, B21, B82, B55, B63, B28, B30, B53, B97, B54, B14, B58, B27, B80, B91, B94, B62, B33, B99, B60, B18, B66, B95, B38, B68, B76, B84, B77, B36, B42, B29, B59, B93, B34, B75, B9, B83, B92, B41, B8, B40, B88, B47, B64, 
R22:, B47, B64, B9, B60, B33, B43, B7, B15, B31, B65, B73, B87, B76, B17, B1, B80, B0, B19, B69, B75, B52, B40, B20, B74, B66, B56, B48, B26, B27, B13, B18, B16, B49, B36, B50, B10, B79, B42, B5, B99, B94, B97, B88, B11, B95, B51, B77, B22, B6, B71, B14, B82, B30, B83, B37, B57, B62, B55, B38, B8, B45, B44, B24, B92, B2, B41, B29, B90, B70, B32, B84, B39, B46, B98, B89, B81, B4, B35, B78, B63, B58, B28, B85, B21, B34, B3, B25, B86, B12, B91, B23, B53, B96, B61, B54, B67, B72, B59, B68, B93, 
R23:, B4, B64, B84, B11, B38, B9, B96, B61, B51, B63, B50, B88, B79, B43, B73, B97, B14, B26, B15, B69, B1, B13, B78, B94, B30, B52, B71, B98, B17, B0, B31, B12, B35, B22, B3, B47, B24, B2, B74, B55, B68, B65, B62, B25, B28, B67, B91, B53, B8, B18, B77, B59, B92, B93, B57, B45, B49, B54, B72, B39, B19, B80, B48, B83, B85, B66, B95, B20, B86, B75, B33, B10, B82, B56, B27, B37, B76, B60, B21, B81, B46, B32, B41, B6, B99, B87, B34, B23, B42, B44, B70, B16, B40, B90, B7, B36, B58, B5, B89, B29, 
R24:, B78, B95, B12, B11, B5, B34, B87, B49, B58, B92, B98, B36, B2, B15, B60, B55, B6, B8, B52, B62, B65, B59, B81, B86, B84, B3, B63, B56, B61, B17, B80, B27, B39, B31, B13, B83, B35, B68, B82, B97, B28, B71, B89, B7, B64, B77, B0, B72, B42, B93, B99, B91, B29, B48, B16, B94, B90, B69, B54, B22, B19, B73, B88, B51, B57, B50, B47, B33, B66, B45, B85, B40, B37, B1, B74, B46, B79, B53, B67, B21, B70, B9, B24, B38, B18, B75, B10, B76, B30, B44, B23, B20, B14, B41, B25, B96, B43, B32, B26, B4, 
R25:, B65, B77, B34, B85, B10, B29, B40, B56, B45, B1, B80, B41, B69, B94, B16, B11, B31, B39, B8, B84, B26, B20, B48, B21, B75, B38, B91, B96, B9, B24, B51, B61, B4, B3, B30, B37, B99, B90, B12, B81, B71, B97, B64, B13, B67, B57, B70, B93, B0, B42, B15, B76, B88, B54, B25, B53, B52, B78, B43, B32, B82, B62, B49, B83, B18, B68, B22, B6, B92, B35, B74, B46, B63, B19, B2, B86, B55, B33, B7, B17, B72, B23, B66, B36, B87, B58, B79, B47, B27, B50, B95, B28, B59, B73, B60, B14, B5, B98, B89, B44, 
R26:, B73, B92, B72, B99, B77, B7, B75, B60, B15, B33, B44, B71, B18, B19, B97, B32, B11, B23, B25, B22, B63, B90, B49, B55, B20, B76, B85, B43, B68, B38, B17, B41, B94, B86, B5, B98, B14, B96, B21, B26, B9, B3, B48, B91, B2, B24, B46, B70, B39, B31, B79, B83, B35, B36, B51, B56, B16, B37, B69, B61, B45, B0, B84, B62, B40, B28, B93, B88, B74, B47, B59, B67, B42, B82, B66, B12, B81, B10, B78, B65, B50, B8, B57, B1, B64, B13, B89, B34, B58, B6, B29, B87, B54, B80, B30, B52, B4, B53, B95, B27, 
R27:, B42, B71, B70, B89, B46, B68, B4, B78, B28, B98, B83, B76, B2, B94, B99, B15, B14, B79, B1, B7, B96, B8, B69, B11, B55, B80, B44, B38, B12, B91, B60, B32, B88, B66, B37, B59, B36, B63, B51, B18, B47, B61, B50, B6, B3, B22, B10, B84, B20, B57, B93, B53, B26, B24, B58, B65, B81, B87, B73, B27, B97, B43, B56, B90, B49, B95, B35, B33, B5, B74, B52, B85, B19, B23, B48, B17, B39, B34, B25, B86, B16, B82, B62, B64, B45, B77, B21, B40, B72, B9, B0, B30, B13, B75, B31, B92, B29, B41, B54, B67, 
R28:, B9, B72, B86, B99, B31, B61, B18, B69, B87, B21, B94, B16, B36, B50, B76, B15, B95, B60, B81, B48, B8, B90, B59, B55, B51, B14, B78, B80, B96, B5, B73, B97, B47, B54, B35, B89, B93, B88, B52, B56, B46, B33, B4, B12, B83, B19, B10, B43, B29, B32, B23, B64, B77, B58, B92, B84, B98, B25, B39, B62, B34, B57, B3, B24, B67, B70, B71, B82, B38, B20, B17, B91, B30, B79, B1, B40, B28, B22, B6, B85, B37, B41, B27, B0, B75, B66, B2, B42, B63, B26, B45, B7, B74, B13, B11, B44, B49, B65, B68, B53, 
R29:, B19, B2, B7, B84, B4, B90, B54, B24, B65, B35, B50, B87, B96, B92, B30, B9, B33, B48, B86, B13, B56, B72, B20, B91, B38, B23, B26, B93, B61, B47, B51, B99, B71, B52, B32, B27, B78, B57, B55, B82, B15, B79, B60, B70, B45, B12, B89, B76, B8, B10, B14, B75, B62, B11, B17, B3, B81, B0, B40, B28, B63, B6, B37, B73, B1, B25, B46, B98, B29, B95, B36, B53, B85, B58, B34, B67, B18, B97, B83, B80, B59, B21, B74, B22, B88, B31, B39, B41, B43, B64, B42, B49, B69, B66, B68, B94, B5, B77, B16, B44, 
R30:, B69, B66, B83, B1, B70, B49, B15, B89, B77, B30, B9, B22, B5, B0, B38, B71, B72, B56, B36, B20, B51, B42, B23, B7, B97, B67, B17, B6, B68, B92, B81, B18, B85, B99, B33, B53, B96, B8, B26, B65, B91, B88, B94, B74, B44, B35, B41, B32, B10, B31, B76, B54, B45, B27, B12, B2, B60, B28, B37, B13, B84, B24, B86, B62, B11, B59, B29, B79, B25, B95, B39, B87, B21, B57, B52, B63, B75, B55, B73, B40, B19, B46, B3, B50, B34, B14, B48, B93, B4, B90, B47, B16, B43, B80, B64, B78, B58, B61, B82, B98, 
R31:, B80, B65, B32, B93, B22, B16, B86, B67, B9, B5, B15, B14, B13, B23, B53, B75, B85, B28, B24, B97, B11, B88, B33, B62, B44, B27, B26, B10, B3, B87, B20, B99, B90, B25, B21, B73, B50, B71, B63, B7, B42, B36, B89, B84, B96, B34, B4, B95, B92, B83, B49, B77, B68, B74, B66, B31, B37, B55, B79, B39, B82, B69, B64, B41, B43, B45, B70, B94, B8, B6, B0, B2, B78, B59, B98, B72, B40, B54, B35, B1, B57, B29, B12, B30, B56, B19, B61, B51, B48, B18, B17, B47, B81, B46, B38, B76, B91, B60, B58, B52, 
